[2017-02-08 05:52:00] main.DEBUG: cache_invalidate:  {"method":"GET","url":"https://newtype.com.au/mens/bottoms.html","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-09 14:30:06] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["catalog_category","catalog_product","BLOCK_HTML"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-02-10 14:30:06] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["catalog_category","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-10 14:30:06] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["catalog_product","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-10 14:30:06] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["BLOCK_HTML","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-10 14:30:06] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["catalog_category","catalog_product","BLOCK_HTML"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-02-11 14:30:07] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["catalog_category","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-11 14:30:07] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["catalog_product","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-11 14:30:07] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["BLOCK_HTML","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-11 14:30:07] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["catalog_category","catalog_product","BLOCK_HTML"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-02-12 12:55:03] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://newtype.com.au/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:32:47] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/index/index/key/5cba7af9e31968c1630746bb84e412605bce5fdc7c48453cbff4ba3033a2bc09/","invalidateInfo":{"tags":["BACKEND_MAINMENU"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-02-12 22:34:01] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://newtype.com.au/admin/admin/cache/flushSystem/key/7320e427ecca6dca25013b39e1731027c89b5f508b80c502debc671bd01d0f99/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-02-12 22:34:01] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://newtype.com.au/admin/admin/cache/flushSystem/key/7320e427ecca6dca25013b39e1731027c89b5f508b80c502debc671bd01d0f99/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-02-12 22:34:01] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://newtype.com.au/admin/admin/cache/flushSystem/key/7320e427ecca6dca25013b39e1731027c89b5f508b80c502debc671bd01d0f99/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:34:11] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/893f1d72cbfc658d2c7ea1723802becddf63aaf7585c0c87b21b3f1cc2701838/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:34:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/893f1d72cbfc658d2c7ea1723802becddf63aaf7585c0c87b21b3f1cc2701838/","invalidateInfo":{"tags":["CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:34:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/893f1d72cbfc658d2c7ea1723802becddf63aaf7585c0c87b21b3f1cc2701838/","invalidateInfo":{"tags":["LAYOUT_GENERAL_CACHE_TAG"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:34:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/893f1d72cbfc658d2c7ea1723802becddf63aaf7585c0c87b21b3f1cc2701838/","invalidateInfo":{"tags":["BLOCK_HTML"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:34:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/893f1d72cbfc658d2c7ea1723802becddf63aaf7585c0c87b21b3f1cc2701838/","invalidateInfo":{"tags":["COLLECTION_DATA"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:34:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/893f1d72cbfc658d2c7ea1723802becddf63aaf7585c0c87b21b3f1cc2701838/","invalidateInfo":{"tags":["REFLECTION"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:34:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/893f1d72cbfc658d2c7ea1723802becddf63aaf7585c0c87b21b3f1cc2701838/","invalidateInfo":{"tags":["DB_DDL"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:34:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/893f1d72cbfc658d2c7ea1723802becddf63aaf7585c0c87b21b3f1cc2701838/","invalidateInfo":{"tags":["EAV"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:34:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/893f1d72cbfc658d2c7ea1723802becddf63aaf7585c0c87b21b3f1cc2701838/","invalidateInfo":{"tags":["CUSTOMER_NOTIFICATION"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:34:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/893f1d72cbfc658d2c7ea1723802becddf63aaf7585c0c87b21b3f1cc2701838/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:34:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/893f1d72cbfc658d2c7ea1723802becddf63aaf7585c0c87b21b3f1cc2701838/","invalidateInfo":{"tags":["INTEGRATION"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:34:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/893f1d72cbfc658d2c7ea1723802becddf63aaf7585c0c87b21b3f1cc2701838/","invalidateInfo":{"tags":["INTEGRATION_API_CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:34:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/893f1d72cbfc658d2c7ea1723802becddf63aaf7585c0c87b21b3f1cc2701838/","invalidateInfo":{"tags":["TRANSLATE"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:34:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/893f1d72cbfc658d2c7ea1723802becddf63aaf7585c0c87b21b3f1cc2701838/","invalidateInfo":{"tags":["WEBSERVICE"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:34:23] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://newtype.com.au/admin/admin/cache/index/key/edcb9f1fe9f45dc8476e2f387c0567fd316d7fe3180752ca0fb4456b5005707c/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:38:04] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://newtype.com.au/admin/admin/cache/flushAll/key/4b9b9dffdd59f859a89376262197599fd55bd14b0d9d1a20f2db6cb833f646d5/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:38:07] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://newtype.com.au/admin/admin/cache/index/key/e397b34be893a9647a22ab2849f3f09dba7cb1338f9c2edf0089b1b0aec71ea9/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:38:08] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:38:17] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://newtype.com.au/admin/admin/cache/flushSystem/key/83c97cb90b5ac3fc113c6294507a10a89c162dbc1df06e67dd57a474c52ac1f9/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-02-12 22:38:17] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://newtype.com.au/admin/admin/cache/flushSystem/key/83c97cb90b5ac3fc113c6294507a10a89c162dbc1df06e67dd57a474c52ac1f9/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-02-12 22:38:17] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://newtype.com.au/admin/admin/cache/flushSystem/key/83c97cb90b5ac3fc113c6294507a10a89c162dbc1df06e67dd57a474c52ac1f9/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:38:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/41a0f312c810e60ee8b3c66fbda61953a45eeade37cfae1f966a7d9d1aa1311c/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:38:30] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/41a0f312c810e60ee8b3c66fbda61953a45eeade37cfae1f966a7d9d1aa1311c/","invalidateInfo":{"tags":["CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:38:30] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/41a0f312c810e60ee8b3c66fbda61953a45eeade37cfae1f966a7d9d1aa1311c/","invalidateInfo":{"tags":["LAYOUT_GENERAL_CACHE_TAG"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:38:30] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/41a0f312c810e60ee8b3c66fbda61953a45eeade37cfae1f966a7d9d1aa1311c/","invalidateInfo":{"tags":["BLOCK_HTML"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:38:30] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/41a0f312c810e60ee8b3c66fbda61953a45eeade37cfae1f966a7d9d1aa1311c/","invalidateInfo":{"tags":["COLLECTION_DATA"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:38:30] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/41a0f312c810e60ee8b3c66fbda61953a45eeade37cfae1f966a7d9d1aa1311c/","invalidateInfo":{"tags":["REFLECTION"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:38:30] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/41a0f312c810e60ee8b3c66fbda61953a45eeade37cfae1f966a7d9d1aa1311c/","invalidateInfo":{"tags":["DB_DDL"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:38:30] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/41a0f312c810e60ee8b3c66fbda61953a45eeade37cfae1f966a7d9d1aa1311c/","invalidateInfo":{"tags":["EAV"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:38:30] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/41a0f312c810e60ee8b3c66fbda61953a45eeade37cfae1f966a7d9d1aa1311c/","invalidateInfo":{"tags":["CUSTOMER_NOTIFICATION"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:38:30] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/41a0f312c810e60ee8b3c66fbda61953a45eeade37cfae1f966a7d9d1aa1311c/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:38:30] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/41a0f312c810e60ee8b3c66fbda61953a45eeade37cfae1f966a7d9d1aa1311c/","invalidateInfo":{"tags":["INTEGRATION"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:38:30] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/41a0f312c810e60ee8b3c66fbda61953a45eeade37cfae1f966a7d9d1aa1311c/","invalidateInfo":{"tags":["INTEGRATION_API_CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:38:30] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/41a0f312c810e60ee8b3c66fbda61953a45eeade37cfae1f966a7d9d1aa1311c/","invalidateInfo":{"tags":["TRANSLATE"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:38:30] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/cache/massRefresh/key/41a0f312c810e60ee8b3c66fbda61953a45eeade37cfae1f966a7d9d1aa1311c/","invalidateInfo":{"tags":["WEBSERVICE"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-12 22:38:32] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://newtype.com.au/admin/admin/cache/index/key/e397b34be893a9647a22ab2849f3f09dba7cb1338f9c2edf0089b1b0aec71ea9/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 12:02:20] main.DEBUG: cache_invalidate:  {"method":"GET","url":"https://newtype.com.au/paypal/express/return/?token=EC-7DM8142875532721K&PayerID=DFZWD85U2YUXS","invalidateInfo":{"tags":["catalog_product_21","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 12:02:20] main.DEBUG: cache_invalidate:  {"method":"GET","url":"https://newtype.com.au/paypal/express/return/?token=EC-7DM8142875532721K&PayerID=DFZWD85U2YUXS","invalidateInfo":{"tags":["catalog_product_130","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 12:03:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/index/index/key/329feaa8e457e2a3844c37f46724550bc506793e93270564e39366fd94f747d2/","invalidateInfo":{"tags":["BACKEND_MAINMENU"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-02-13 12:05:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/sales/order_creditmemo/save/order_id/39/key/3245a8864214fc7e4f090265e1ddf3bdbff01ead6e1dbd3bd340bb07e9bef928/","invalidateInfo":{"tags":["catalog_product_21","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 12:05:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/sales/order_creditmemo/save/order_id/39/key/3245a8864214fc7e4f090265e1ddf3bdbff01ead6e1dbd3bd340bb07e9bef928/","invalidateInfo":{"tags":["catalog_product_130","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 12:06:57] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/sales/order_creditmemo/save/order_id/37/key/3245a8864214fc7e4f090265e1ddf3bdbff01ead6e1dbd3bd340bb07e9bef928/","invalidateInfo":{"tags":["catalog_product_21","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 12:06:57] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/sales/order_creditmemo/save/order_id/37/key/3245a8864214fc7e4f090265e1ddf3bdbff01ead6e1dbd3bd340bb07e9bef928/","invalidateInfo":{"tags":["catalog_product_130","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 12:07:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/sales/order_creditmemo/save/order_id/33/key/3245a8864214fc7e4f090265e1ddf3bdbff01ead6e1dbd3bd340bb07e9bef928/","invalidateInfo":{"tags":["catalog_product_21","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 12:07:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/sales/order_creditmemo/save/order_id/33/key/3245a8864214fc7e4f090265e1ddf3bdbff01ead6e1dbd3bd340bb07e9bef928/","invalidateInfo":{"tags":["catalog_product_130","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 12:08:30] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/sales/order_creditmemo/save/order_id/28/key/3245a8864214fc7e4f090265e1ddf3bdbff01ead6e1dbd3bd340bb07e9bef928/","invalidateInfo":{"tags":["catalog_product_21","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 12:08:30] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/sales/order_creditmemo/save/order_id/28/key/3245a8864214fc7e4f090265e1ddf3bdbff01ead6e1dbd3bd340bb07e9bef928/","invalidateInfo":{"tags":["catalog_product_127","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 12:09:27] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/sales/order_creditmemo/save/order_id/27/key/3245a8864214fc7e4f090265e1ddf3bdbff01ead6e1dbd3bd340bb07e9bef928/","invalidateInfo":{"tags":["catalog_product_21","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 12:09:27] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/sales/order_creditmemo/save/order_id/27/key/3245a8864214fc7e4f090265e1ddf3bdbff01ead6e1dbd3bd340bb07e9bef928/","invalidateInfo":{"tags":["catalog_product_127","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 12:10:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/sales/order_creditmemo/save/order_id/38/key/3245a8864214fc7e4f090265e1ddf3bdbff01ead6e1dbd3bd340bb07e9bef928/","invalidateInfo":{"tags":["catalog_product_36","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 12:10:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/sales/order_creditmemo/save/order_id/38/key/3245a8864214fc7e4f090265e1ddf3bdbff01ead6e1dbd3bd340bb07e9bef928/","invalidateInfo":{"tags":["catalog_product_139","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 14:30:05] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["catalog_category","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 14:30:05] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["catalog_product","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 14:30:05] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["BLOCK_HTML","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 14:30:05] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["catalog_category","catalog_product","BLOCK_HTML"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-02-13 20:39:53] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/index/index/key/750d0e94d4007cd63a50e659383567b7e5046a73b844cdfa3ec5a2acc6297f13/","invalidateInfo":{"tags":["BACKEND_MAINMENU"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-02-13 20:45:24] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/catalog/product/save/id/2/type/configurable/store/0/set/9/key/cb2cab17f8c3b4c4cf5e087a0764f8c1124b9e2c9276e6d6238574bb74d53bcb/","invalidateInfo":{"tags":["catalog_product_119"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-02-13 20:45:24] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/catalog/product/save/id/2/type/configurable/store/0/set/9/key/cb2cab17f8c3b4c4cf5e087a0764f8c1124b9e2c9276e6d6238574bb74d53bcb/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-02-13 20:45:24] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/catalog/product/save/id/2/type/configurable/store/0/set/9/key/cb2cab17f8c3b4c4cf5e087a0764f8c1124b9e2c9276e6d6238574bb74d53bcb/","invalidateInfo":{"tags":["catalog_product_119","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 20:45:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/catalog/product/save/id/2/type/configurable/store/0/set/9/key/cb2cab17f8c3b4c4cf5e087a0764f8c1124b9e2c9276e6d6238574bb74d53bcb/","invalidateInfo":{"tags":["catalog_product_119","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 20:45:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/catalog/product/save/id/2/type/configurable/store/0/set/9/key/cb2cab17f8c3b4c4cf5e087a0764f8c1124b9e2c9276e6d6238574bb74d53bcb/","invalidateInfo":{"tags":["catalog_product_119","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 20:45:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/catalog/product/save/id/2/type/configurable/store/0/set/9/key/cb2cab17f8c3b4c4cf5e087a0764f8c1124b9e2c9276e6d6238574bb74d53bcb/","invalidateInfo":{"tags":["catalog_product_119","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 20:45:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/catalog/product/save/id/2/type/configurable/store/0/set/9/key/cb2cab17f8c3b4c4cf5e087a0764f8c1124b9e2c9276e6d6238574bb74d53bcb/","invalidateInfo":{"tags":["catalog_product_119"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 20:45:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/catalog/product/save/id/2/type/configurable/store/0/set/9/key/cb2cab17f8c3b4c4cf5e087a0764f8c1124b9e2c9276e6d6238574bb74d53bcb/","invalidateInfo":{"tags":["catalog_product_119","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 20:45:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/catalog/product/save/id/2/type/configurable/store/0/set/9/key/cb2cab17f8c3b4c4cf5e087a0764f8c1124b9e2c9276e6d6238574bb74d53bcb/","invalidateInfo":{"tags":["catalog_product_119","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-13 20:45:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/catalog/product/save/id/2/type/configurable/store/0/set/9/key/cb2cab17f8c3b4c4cf5e087a0764f8c1124b9e2c9276e6d6238574bb74d53bcb/","invalidateInfo":{"tags":["catalog_product_120"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-02-13 20:45:26] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/catalog/product/save/id/2/type/configurable/store/0/set/9/key/cb2cab17f8c3b4c4cf5e087a0764f8c1124b9e2c9276e6d6238574bb74d53bcb/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
